Subject,Name,Hierarchy,Correct,Fact-id,RT,Question_type
5,Cosmin,True,False,14,1281.02490234375,Non-Species
5,Cosmin,True,False,27,4555.53125,Non-Species
5,Cosmin,True,False,25,4555.53125,Non-Species
5,Cosmin,True,False,27,4555.53125,Non-Species
5,Cosmin,True,False,29,8091.2978515625,Non-Species
5,Cosmin,True,False,18,1843.358642578125,Non-Species
5,Cosmin,True,False,29,1593.457763671875,Non-Species
5,Cosmin,True,False,20,4827.041748046875,Non-Species
5,Cosmin,True,False,18,4827.041748046875,Non-Species
5,Cosmin,True,False,14,4827.041748046875,Non-Species
5,Cosmin,True,False,20,4827.041748046875,Non-Species
5,Cosmin,True,False,25,37318.989013671875,Non-Species
5,Cosmin,True,False,27,37318.989013671875,Non-Species
5,Cosmin,True,False,29,37318.989013671875,Non-Species
5,Cosmin,True,False,18,2889.983642578125,Non-Species
5,Cosmin,True,False,25,6873.435791015625,Non-Species
5,Cosmin,True,False,20,6873.435791015625,Non-Species
5,Cosmin,True,True,14,2436.92724609375,Non-Species
5,Cosmin,True,False,27,2436.92724609375,Non-Species
5,Cosmin,True,True,29,1484.1123046875,Non-Species
5,Cosmin,True,False,18,1562.1376953125,Non-Species
5,Cosmin,True,False,25,1562.1376953125,Non-Species
5,Cosmin,True,False,27,1562.1376953125,Non-Species
5,Cosmin,True,False,20,1562.1376953125,Non-Species
5,Cosmin,True,False,23,9498.468017578125,Non-Species
5,Cosmin,True,False,22,2358.90234375,Non-Species
5,Cosmin,True,True,23,1156.027587890625,Non-Species
5,Cosmin,True,False,21,1577.841552734375,Non-Species
5,Cosmin,True,False,22,1577.841552734375,Non-Species
5,Cosmin,True,False,18,1749.668212890625,Non-Species
5,Cosmin,True,False,21,1749.668212890625,Non-Species
5,Cosmin,True,True,27,2515.119140625,Non-Species
5,Cosmin,True,False,16,1643.436767578125,Non-Species
5,Cosmin,True,False,20,1643.436767578125,Non-Species
5,Cosmin,True,False,13,2096.578857421875,Non-Species
5,Cosmin,True,False,16,1609.02783203125,Non-Species
5,Cosmin,True,False,13,1609.02783203125,Non-Species
